proteinAccession	N_experiment	fold change	metric	P-value	BH adjusted P-value	LogFC	LogMetric	Gene	Description
A0AV96	8	1.02872856681509	1.02872856681509	0.0809403653697442	0.311476411255658	0.0408623729344369	0.0408623729344369	RBM47 	RBM47_HUMAN RNA-binding protein 47 OS=Homo sapiens OX=9606 GN=RBM47 PE=1 SV=2
A0AVT1	10	1.24351047534679	1.24351047534679	0.936508121656802	0.969112932038119	0.31441866088591	0.31441866088591	UBA6 	UBA6_HUMAN Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens OX=9606 GN=UBA6 PE=1 SV=1
A0FGR8	2	1.04316725288935	1.04316725288935	0.506178469992515	0.706042072735712	0.0609704863038735	0.0609704863038735	ESYT2 	ESYT2_HUMAN Extended synaptotagmin-2 OS=Homo sapiens OX=9606 GN=ESYT2 PE=1 SV=1
A0MZ66	6	1.13753437863108	1.13753437863108	0.73268099343273	0.852215702543736	0.185910147184819	0.185910147184819	SHTN1 	SHOT1_HUMAN Shootin-1 OS=Homo sapiens OX=9606 GN=SHTN1 PE=1 SV=4
A1L0T0	10	1.12171554502911	1.12171554502911	0.385905110014878	0.622479981938025	0.165706870415816	0.165706870415816	ILVBL 	HACL2_HUMAN 2-hydroxyacyl-CoA lyase 2 OS=Homo sapiens OX=9606 GN=ILVBL PE=1 SV=2
A2A274	10	1.12349261342019	1.12349261342019	0.463296710574904	0.67853757136274	0.167990639322366	0.167990639322366	ACO2 	A2A274_HUMAN Aconitate hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=ACO2 PE=1 SV=1
A2A2E9	7	60.9751102034876	64.023865713662	0.535664321813415	0.72483537461338	5.93014855536895	6.00053788326035	NA	NA
A2AB90	2	0.844601627324277	0.844601627324277	0.0681537723776527	0.290050613687899	-0.243657068053141	-0.243657068053141	TAPBP 	A2AB90_HUMAN Tapasin OS=Homo sapiens OX=9606 GN=TAPBP PE=1 SV=1
A2IDC6	5	1.34476024874825	1.34476024874825	0.0979028750280666	0.335583704278663	0.427348984102705	0.427348984102705	MRPL28 	A2IDC6_HUMAN 39S ribosomal protein L28, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=MRPL28 PE=1 SV=1
A2RRF3	3	1.04387762257299	1.04387762257299	0.412006574555352	0.641975239416133	0.0619525896322795	0.0619525896322795	NA	NA
A2RRP1	6	1.22956891468929	1.22956891468929	0.975853819685202	0.9878686492528	0.298152597149702	0.298152597149702	NBAS 	NBAS_HUMAN NBAS subunit of NRZ tethering complex OS=Homo sapiens OX=9606 GN=NBAS PE=1 SV=2
A3KFL4	2	0.97956557090763	0.97956557090763	0.27700580708432	0.527080259318124	-0.0297860269406669	-0.0297860269406669	NA	NA
A3KMH1	4	0.906435563194391	0.906435563194391	0.0308648418909821	0.20216515479133	-0.141723629759733	-0.141723629759733	VWA8 	VWA8_HUMAN von Willebrand factor A domain-containing protein 8 OS=Homo sapiens OX=9606 GN=VWA8 PE=1 SV=2
A4D1L6	1	1.105673432259	1.105673432259	0.912291435188516	0.954573389343805	0.144925339252212	0.144925339252212	NA	NA
A5YKK6	9	1.37801266584426	1.32697515970188	0.95433584871801	0.97670550569572	0.462589148467985	0.408141364445608	CNOT1 	CNOT1_HUMAN CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1 PE=1 SV=2
A5YVE9	10	1.3786264305162	1.3786264305162	0.39758819986083	0.631057214985576	0.46323157950967	0.46323157950967	NA	NA
A6NCF5	1	0.783054077721552	0.783054077721552	0.393615961775836	0.627759138814735	-0.352816151398258	-0.352816151398258	KLHL33 	KLH33_HUMAN Kelch-like protein 33 OS=Homo sapiens OX=9606 GN=KLHL33 PE=4 SV=2
A6NCK0	7	1.09715463898341	1.09715463898341	0.421757377333267	0.647543508945754	0.133766881412488	0.133766881412488	NA	NA
A6NDG6	4	1.13959613526485	1.13959613526485	0.668825285004139	0.817754515133489	0.188522634142172	0.188522634142172	PGP 	PGP_HUMAN Glycerol-3-phosphate phosphatase OS=Homo sapiens OX=9606 GN=PGP PE=1 SV=1
A6NEM2	5	1.11004005366654	1.11004005366654	0.458266757732285	0.675818039413719	0.15061173439839	0.15061173439839	HCFC1 	A6NEM2_HUMAN Host cell factor 1 OS=Homo sapiens OX=9606 GN=HCFC1 PE=1 SV=2
A6NG51	5	1.16699995939905	1.16699995939905	0.97032507656593	0.98556410440317	0.222804510852639	0.222804510852639	NA	NA
A6NHR9	6	0.956830217004381	0.956830217004381	0.0197325046647231	0.160118159907178	-0.0636651438609507	-0.0636651438609507	SMCHD1 	SMHD1_HUMAN Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SMCHD1 PE=1 SV=2
A6NIW1	8	1.11795013505784	1.11795013505784	0.253645147289056	0.505931766694081	0.160855839782941	0.160855839782941	NA	NA
